Emotion,Text
Fear,"I moved from sleepy St. Paul to bustling uptown Minneapolis during the 2009 art fair. 
It was traumatic. I haven't gone to the fair since."
Sadness,Such an emotionless person without you
Anger/Upset,Don't play that New Orleans bs 🚮
Happy,@coachchadmorris enjoyed hearing you on ESPN today Coach. Go Mustangs
Excitement,@coachchadmorris enjoyed hearing you on ESPN today Coach. Go Mustangs
None,Major mood https://t.co/Hfv3EZY8iI
Amusment/Interest?,Lines on cars you see in the daytime completely transform at night absolutely… https://t.co/ri7cyp2G4I
Amusment/Interest?,"Very interesting read. I support the Soccer Pyramid but not the ""scheme"" one though LOL https://t.co/UIOF0zHA6k"
Sadness,I wanna go floating 😕
Frustrated,I wanna go floating 😕
Love,@JaclynGlenn @YouTube hope you're feeling better. Take care of yourself. Hugs
Hopeful,@JaclynGlenn @YouTube hope you're feeling better. Take care of yourself. Hugs
None,@fluttershyster @HAGOODMANAUTHOR @BenjaminPDixon @caitoz @RealTimBlack You're
None,@ food https://t.co/dX6w7e8y59
None,"@GreatHOSHANA JESUS is https://t.co/B6xjC4ggG2    
 Over30000 OnSiteLastMoPleaseShareOK"
None,"I'm selling my Mac Mini with its Intel Core i7 16GB RAM 256GB SSD running macOS Sierra.

https://t.co/5i7ubxfjNr"
None,14:21   NNW@1 mph(Light Air) Gst:1 mph   Dry   88°F(Feels 94°F)   RH:56%   Dp:71°F   BP:29.9inHg    Mn:Waxing Gibbous #CarolinaWx #ClaytonNC
Amazed,"I’ll try again:

Wow. That’s amazing. Job 36:29-30.

https://t.co/eNOQHH50wx

ht: @BartMcCurdy"
Excitement,"🗝 I am absolutely loving the look as it comes along in the upstairs guest bathroom remodel.
✖️… https://t.co/umtSDGDbXS"
Love,Happy birthday to my pookie dookie @MONtrelDAYS . We are both crazy as hell but noting can stop us 😘😘😘 https://t.co/5EmgAKz9CK
Sadness,lol guess who just fell down like four of her stairs and can't walk but had to go to work in 30 mins 🙃🙃
lol,lol guess who just fell down like four of her stairs and can't walk but had to go to work in 30 mins 🙃🙃
Sadness,Bitch I miss you tooo ☹️☹️☹️☹️ https://t.co/U9LjdeErri
None,"@_OGSteez FW17. Coming soon. 
""Loyalty builds Legacies"" 
#ONTHELEGALGRIND @ The Woodlands Texas https://t.co/cTkXvzKRQN"
None,https://t.co/RqwkAW2upu @ Spring Valley Tavern Sports Grill https://t.co/aolZSMTFcd
Happy,Finally at the beach! https://t.co/7Ix4R4ZE9L
Anger/Upset,posts like this really upset me... like just let girls do what they want and don't complain unless we're hurting so… https://t.co/i4chL7rsoQ
Anger/Upset,Yes I hope you old crook child molester robbing America politicians take trump down on some bull shit I wanna civil… https://t.co/F480NJiDBP
None,Cleared: Incident on #US9 Both directions at Garden State Parkway
None,Cleared: Incident on #US9 Both directions at Garden State Parkway
Love,Dear blood orange  @SanpelFruit_US . . I ❤️U!! https://t.co/WKwwGOTpQb
None,Incident on #MainLine at Hoboken Terminal https://t.co/lbN3BlMj28
None,Incident on #MainLine at Hoboken Terminal https://t.co/KbD0sSmXlf
None,Want to work in #Jericho NY? View our latest opening: https://t.co/nioXiIzK4q #Sales #Job #Jobs #Hiring
None,If you're looking for work in #Hollywood FL check out this #job: https://t.co/pjh1nN3hnb #Nursing #Hiring #CareerArc
None,Can you recommend anyone for this #job in #Syracuse NY? https://t.co/lzlNHoBo2L #Hospitality #Hiring #CareerArc
Anger/Upset,@IvankaTrump u known everything. FBI.  Dad became  pres for criminal collision with Russia. Connected to many horrible crimes. Glad4Senate!
None,Can you recommend anyone for this #job in #Florence SC? https://t.co/SN6QRCgvfL #SONIC #Hospitality #Hiring #CareerArc
None,This #job might be a great fit for you: Weekend Sales Associate - https://t.co/zfmoCv0h9l #Sales #PoundingMill VA #Hiring #CareerArc
None,If you're looking for work in #GreenBay WI check out this #job: https://t.co/350IsH9eMS #MilSpouse #Hiring #CareerArc
None,Can you recommend anyone for this #job? RN Case Manager (Discharge Planner UM) - https://t.co/rEBRVV1nx1 #Healthcare #Spokane WA #Hiring
Suprise,Holy shit Steve Miller is still around I thought he got invited to one of spiceys holocaust camps and we gassed the Nazi bastard already wtf
None,Can you recommend anyone for this #job in #Boston MA? https://t.co/AMEloIm2JE #Nursing #Hiring #CareerArc
None,If you're looking for work in #ElDoradoHills CA check out this #job: https://t.co/Jh7hrKWxH8 #Banking #Hiring #CareerArc
None,Interested in a #job in #Akron OH? This could be a great fit: https://t.co/mqlQjUuuwf #Hiring
Suprise,i was in deep thought in the shower and realized that loomis is a leo and he shows every trait of one smh
None,We're #hiring! Read about our latest #job opening here: barista - Store# 25115 HIGHWAY 70 &amp; JONES... - https://t.co/weURFWi8PG #Veterans
None,If you're looking for work in #Indianapolis IN check out this #job: https://t.co/oONyByi3jX #Healthcare #Hiring
Happy,This day to day routine is going to come to a change real soon! Watch me work.
Anger/Upset,I thinking workout before work was a bad idea
Thoughtful,Life is to be experienced. Put yourself out there. Do things you have never done. Live a life where at the end you will have no regrets.
Excitement,I want to go to Six Flags so bad!
Frustrated,I want to go to Six Flags so bad!
Amusment/Interest?,This voice changer was pretty cool. https://t.co/YcFQ91JRYr
Amusment/Interest?,This is cool https://t.co/ck0L4nX9U8
Anger/Upset,@minnman47 Amen to that 10500% !! Can we put all the islamists gays demofukkupcrappies and libturds and send the… https://t.co/CDi1DSdaVo
None,Drinking an Oude Geuze Boon Black Label Second Edition by @BrouwerijBoon at @bestplacepabst — https://t.co/dPUQfOGPSl
None,Can you recommend anyone for this #job? Psychiatric Tech-Emergency Department - https://t.co/JVv11HoahR #Healthcare #Bethesda MD #Hiring
lol,omfg niggas starting to send me nudes nah😂😂😂😂😂😂😂im weak as tf  they dick so ugly dawg 💀
None,Do you know anyone who wants to be a #CNA? Have a look at this #job in #Newton NJ! https://t.co/oomrkN9Dw1 #Healthcare #Hiring #CareerArc
lol,Me nxt weekend 😂 https://t.co/XmZnfy3xvR
None,See our latest #LuthervilleTimonium MD #job and click to apply: barista - Store# 28147 TIMONIUM... - https://t.co/bUR6FNWd3M #Veterans
Excitement,FINALLY a new blog post up today!! What to pick for college 🎓https://t.co/YUbq8pcdQn
None,See our latest #Ottawa ON #job and click to apply: shift supervisor - Store# 04649 O'CONNOR &amp;... - https://t.co/CPx4LQTlbn #Veterans
Anger/Upset,I suck at love. I think I need a do over.
Sadness,I don't think Imma make it
None,Can you recommend anyone for this #job? Store Team Member - https://t.co/pshDxQKZU0 #Summerville SC #Hiring
lol,@delaneyshawgo it took me forty minutes to drive 4 miles the other day. lmao
Frustrated,@delaneyshawgo it took me forty minutes to drive 4 miles the other day. lmao
Anger/Upset,@HuffPost What's the definition of insanity? Won't get same result with same leadership. That's a no brainer.
lol,Redownloaded tinder because I hate myself. Match me if you're looking for a rescue animal type of dynamic 😭😂🐶
Frustrated,It's perfect outside &amp; of course I work alllll day 🙃
Happy,I love wearing sundresses ☀️
Amusment/Interest?,@kenlbear You are right about DM. I prefer Dark Mass Equivalent. I proposed extra gravity is produced by Shapiro de… https://t.co/ywCffBS1Va
Thoughtful,@kenlbear You are right about DM. I prefer Dark Mass Equivalent. I proposed extra gravity is produced by Shapiro de… https://t.co/ywCffBS1Va
None,Look at this on eBay https://t.co/SUt5p63xZJ #textbooks https://t.co/PftB73YtIt
Frustrated,Someone hang out with me I'm dying rn
Excitement,Saturday hurry up 🤘🏼
None,Interested in a #job in #ColoradoSprings CO? This could be a great fit:  #insidesales #Hiring
None,We're #hiring! Read about our latest #job opening here: Radiologic Technologist -  #Healthcare #Carthage MO
None,This #job might be a great fit for you: Accounts Payable Clerk -  #Accounting #BedfordHeights OH #Hiring
None,Join the Houston TX team! See our latest #job opening here:  #NursingAssistant #Houston TX #Hiring
None,Want to work at CITI? We're #hiring in #Tampa FL! Click for details:  #CitiCareers #Actuarial #Job #Jobs
Fear,@frddriver Hope everyone is okay. What happened?
None,This #job might be a great fit for you: Dishwasher -  #Dishwasher #Nashville TN #Hiring
None,Want to work in #Salem OH? View our latest opening:  #Transportation #Job #Jobs #Hiring #CareerArc
None,We're #hiring! Click to apply: Project Manager eCommerce -  #BusinessMgmt #Irving TX #Job #Jobs
None,Interested in a #job in #StLouis MO? This could be a great fit:  #Banking #Hiring #CareerArc
None,If you're looking for work in #Decatur GA check out this #job:  #FacilitiesMgmt #Hiring #CareerArc
None,Best place to live abroad unless you hate Europe &amp; the beach: Carvoeiro Portugal. @LiveandInvest @laurabegley  YES!
lol,another guy who has me on social media has recognized me in holister and asked if i knew who he was lmaoaskksjdjdjsjdjdjdjskskckf
None,Can you recommend anyone for this #job? Associate Director Data &amp; Analytics -  #ProjectMgmt #NewYork NY #Hiring
None,If you're looking for work in #SouthBurlington VT check out this #job:  #SupplyChain #Hiring
Sadness,There's just not enough of Ludwig Von Drake these days...
None,"💥💥Try out FORZA BURN .
▪️support metabolism.
▪️enhance lipolysis. 
▪️and mobilize fat for… "
None,See our latest #Dallas TX #job and click to apply: DAYSHIFT - Warehouse Associate -  #SupplyChain #Hiring
Confusion,so I lost my pants and charger last night and my hair smells like throw up.. #lastnight #whathappened #fukciroc #fukmalibu #fukalcohol
Thankful,#Hallmarkies ❤️@LoveMyPhilly thank you for supporting #SummerNights @hallmarkchannel #LoveAtTheShore @HappyCatandDog
None,Can you recommend anyone for this #job in #Saginaw MI?  #Restaurant #Hiring
Love,Let's take both of our souls and intertwine
Excitement,Down goes #Incredibolt! Justin Gatlin takes the gold in the 100m finals - #Bolt captures the Bronze. Incredible career.
None,See our latest #Irvine CA #job and click to apply: Production Artist -  #Art #Hiring #CareerArc
None,12538 Honey Creek Trl Humble TX 77346 $349900 4 beds 4.5 baths
Confusion,@MyLifeAsJean_S I thought you were... never mind.
lol,being an adult means buying so many pairs of underwear that you don't even worry about running out
None,Drinking an Attica by @Akademia_BC at @southernbrewco —
Sadness,#USAINBOLT just lost his last race. ⚡️ Call your momma and tell her you love her. #TDK #London2017
None,Want to work at Robert Half Finance &amp; Accounting? We're #hiring in #Dallas TX! Click for details:  #Clerical #Job
None,20002 Texas Laurel Trl Humble TX 77346 $261900 4 beds 3 baths
Sadness,Mi almost get fired for this ..mi wah cry
Sadness,Too bad De Grasse got injured. Would've had a very good shot at winning that. #London2017
None,"A Must See:  Preview blog about SHARE Providence 2017: What Will be ""Wicked Awesome!”  "
None,My dream home has a kitchen with double islands what do you think? @ Boston Massachusetts
None,@TammAvenueGrill is South City Special playing there tonight?
None,7410 Auburn Oak Trl Kingwood TX 77346 $298000 5 beds 3.5 baths
Anger/Upset,@mnemz19 What.  The. Living. Hell.  My dogs are the BEST use of my time.
Anger/Upset,The lady behind me popping this gum tho. . .lawd stop!
Anger/Upset,NO you can't let them do this to you UNCFB.
Sadness,Idk man if I lost my healthcare I would want a hug too.🤷‍♀️
Thankful,@TMI_Uruguay @kaitdubz Thank you so much for this
Sadness,My ex once asked me to get these with her 4 days before she cheated... must of knew it'd cause some distance betwee…
Anger/Upset,We still ain't left yet 😡
Excitement,Very cloudy rainy day but the sun is trying to make an appearance!  After the big rainstorm this am we had to stake up the veggies!
Thoughtful,Always be mindful! It's may seem harmless n the moment but the implications could b disastrous.
Sadness,idk why I'm really crying at this
Anger/Upset,I need a damn gun
Fear,I need a damn gun
Love,@matthewpatrick7 :( I love u
Sadness,@matthewpatrick7 :( I love u
lol,@Cater2Liz Lmao you're right 👌🏽
None,Check out our #listing in #Wooster #OH  #realestate #realtor
lol,"J accidentally put dez's diaper on with a butt cheek hanging out then I Call him out and he says "" maybe he wants to wear a thong today"" 😩😂"
Happy,Comfort beer.  :-) - Drinking  The Stout by @watersendbrew @ Water's End Brewery  —  #photo
Proud,Females I'm proud of y'all for getting in shape for fhockey keep that shit up. Y'all gonna look good af.👏🏽👏🏽 #nottalkingabonthefield 😏
Anger/Upset,These fucking frat boys moshing to every drop at Perrys stage really know how to ruin a good time
Thankful,Thank you .
Happy,The best round of golf we had in some time sonshine523 @ Deer Valley…
Happy,Enjoying this moment looking at Lady Liberty across. #TakingABreather #SansVacay #lifetooshort @…
Suprise,I never thought I'd see the day where usian bolt looses a race😳
Love,Kings Island w/ babes ❤️
Happy,Kings Island w/ babes ❤️
Sadness,Body hurt😭😩😩😩😩😩😩😩
Anger/Upset,"@repdinatitus when I see trump brag about economic/jobs numbers-I reply ""thank you Obama!"""
Anger/Upset,Its so hot outside ..
None,Drinking a Kentucky Breakfast Stout (KBS) (2016) 11.9% by @foundersbrewing @ Governor's Quarters —  #photo
Anger/Upset,Nope
Anger/Upset,@Kathysminerva @rabidcop109 @Swami57 @greta Better hope crooked Trump finds it in his heart to Pardon your criminal…
lol,Still funny 😹😹
Happy,@CaffeineHanine @christinaiguess @FawziAbdelAl @SorshaMorava same! my blood results came back better than ever this…
Happy,What's better than floating in the pool with your cooler and drinking an ice cold @budlight
Happy,I always enjoy her articles!
Excitement,I always enjoy her articles!
None,"#EuphoriaMiami 💦

Returns Sept 30th

10pm-3am

Rep Where You From Foam Party 🇭🇹🇹🇹🇧🇸🇯🇲

"
Sadness,only cry twice a day
Happy,If you're having a bad day... here: 🐶🌻
Happy,Nothing like hot soup on a hot day
lol,Can @_miikaylaaa_  not screen shot my Snap I send to her 😂😂😂
Love,It's just a sweet fantasy babyyy
Anger/Upset,@ericbolling fight this suspension like hell!!  We know it's a bunch of fabricated malarkey bent on silencing conservative Trump supporters!
Excitement,Can't wait until October.🎃🍂
Sadness,If I sink to the darkest depths will you be there for me? Cause I don't want to go. &gt;&gt;…
Sadness,The one that got away.
Excitement,".@DiscoveryID can you please please please tell whether or not ""Disappeared"" will return for another season? Best show on the network!"
Sadness,I need a nap from this day 😩
Happy,I'm enjoying life in cali going back to Vegas Monday tho🌴 but I ain't complaining
Love,I spoiled the fuckkkkk out of my Lil cousin for her 13th birthday 😫😫😫💕💕
Anger/Upset,#NCSLSummit 5 public hearings Aug 7-14 in #virginia STOP PIPELINES click for locations/details/RSVP  #RVA #fairfax
Happy,Went shooting today.....Reagan liked mommy's earmuffs and glasses. 😊 @ Frontier Justice
Anger/Upset,Dortmund really scored an own goal to tie the game and then choked in penalties
Excitement,I'm an #Earper all the way! With its ups and down. #WynnonaEarp #WayHaught 💕✌🏼
Anger/Upset,"And the house and the senate. And still can't get anything done. I guess being the party of ""no"" really was easier… "
Happy,"YALL! 

I had sooooo much fun on d road today 🤸🏾‍♀️"
lol,Lmao these hoes really crazy 😂😂
Anger/Upset,When dopers like Gatlin win world titles Track and Field loses
Anger/Upset,I hate when my brother brings his cheating ex gf here and now I'm stuck in my room bc I hate being around their nasty selves
Excitement,Just found out that @HarlemLacrosse is heading west and starting a program in Compton. That is AWESOME news.
Happy,My mood today is Cloud 9. Idk why. Just super happy
Suprise,@ChicagosMayor @nbcchicago @chicagotribune People dying in the streets of Chicago and this is Mayor's focus?
Anger/Upset,@ChicagosMayor @nbcchicago @chicagotribune People dying in the streets of Chicago and this is Mayor's focus?
Love,always :)
Happy,always :)
Happy,@FTJ__7 Happy Birthday
Sadness,Gutted Bolt lost idolised him since Beijing 2008 and that's coming from a slow bastard. One of the greatest athletes of all time.
lol,So Malia Obama came into my job today lol
Excitement,So Malia Obama came into my job today lol
Thankful,I would put on a zillion more stressful events with you ladies. Thanks for one hell of a…
Happy,That was a nice nap now it's raining soooo Ima shower and go back to sleep 🙃
lol,Some lady just asked me if Sugar was a direwolf. Lol... #gameofthrones #greatpyrenees @ Union…
Anger/Upset,Yep it's Trump's fault that people leak transcript of phone calls all the leaks  everything is trumps fault.. just ask any reporter#bull 💩
Confusion,idk why niggas wear wedding attire &amp; decide to wear a fitted/snapback or some Jordan's. like you might as well show up in sweats &amp; sperrys
Love,Omg I love him so much for quoting Jane the Virgin lol
lol,Omg I love him so much for quoting Jane the Virgin lol
Anger/Upset,@dcnblues So it's patently ridiculous for you to tar and feather Hillary Dems and supporters while supporting Ber…
None,SPCF 17.5! Get Day great athletes! #SPCF @ St. Peters Crossfit
Anger/Upset,this foundation is bronze beige but still too light/pink im angry
None,"#99CENTS #FREE #KINDLEUNLIMITED
FINDING JESSIE #romance
🇺🇸 
🇬🇧 
"
None,I would love to show you my #listing at 6572 Harding Hwy #MaysLanding #NJ  #realestate
Thankful,someone paid for my drinks at starbucks thank you random white I will remember this when the race war starts
Excitement,"@Katie_baller04 ""I CANT WAIT UNTIL BASKETBALL SEASON!"" Ummm it's 3 mo. Away. Sound familiar? @shelbymeyerrrrr"
Confusion,I don't know why but there's mariachi here at heb it's kinda lit
Excitement,I don't know why but there's mariachi here at heb it's kinda lit
Love,I'm late but Canada has made me confident and I love how special this hashtag is to the community and to me!…
Proud,This boy can hoop💪
Proud,My favorite game.  I win no matter what.
Anger/Upset,Claire McCaskill Claims She ‘Respects’ Trump Voters Despite Mocking President
Anger/Upset,@thehill @RoyalHoeliness It seems like the sexual harassment training at Fox News is a “how-to” instead of a “do not.”
Anger/Upset,Wtf when did they take 10 Things I Hate About You off Netflix
Confusion,Wtf when did they take 10 Things I Hate About You off Netflix
None,Just posted a photo @ Hell's Kitchen Manhattan
Anger/Upset,@yngmojo are u fuckin serious i just blew all my money on premieres yesterday SMHHH
None,Want to work in #Pleasantville NJ? View our latest opening:  #Marketing #Job #Jobs #Hiring #CareerArc
Happy,140 lbs less with a clean new set. You are wining girly 🙃🙃
Happy,Birthday steak dinner @ Chili's Grill &amp; Bar
None,We're #hiring! Read about our latest #job opening here: Store Team Member -  #Retail #Durant OK
Anger/Upset,"@Vetzal @Vision_Storm @VioletZer0 Wow so violet wants to turn the us into a 4th world hell hole

God he's scum"
Love,I love you husband
Sadness,Wish I could stream..
None,See a virtual tour of my listing on 7001 West ALTGELD Street 2E #Chicago #IL  #realestate
lol,Don't go to AAA high asf 😂😂😂
None,Can you recommend anyone for this #job in #Atlanta GA?  #Legal #Hiring #CareerArc
None,Interested in a #job in #Hoover AL? This could be a great fit:  #regions #regionsbank #Banking #Hiring #CareerArc
None,Want to work at Charter Schools USA? We're #hiring in #Bradenton FL! Click for details:  #Education #Job #Jobs
Anger/Upset,I been used by so many people in my life. I absolutely trust NO ONE. I'm just cordial with everyone
None,Some kind of wildflower that was growing at moms. @ Duncan Homestead
Excitement,BIG NEWS!!! Kari I achieved something today no other couple has. Today we broke a world mountain…
None,See our latest #SierraVista AZ #job and click to apply: Restaurant Hourly Team Member -  #Restaurant #Hiring
None,@okfallon @A_A_Ron_Rodgers @kathleen_meehan Bc it's us
Anger/Upset,"I didn't have the heart to read after a while...so gruesome! 
#Tamils from #SriLanka went through a lot. I hope they get justice soon!"
Sadness,"I didn't have the heart to read after a while...so gruesome! 
#Tamils from #SriLanka went through a lot. I hope they get justice soon!"
Sadness,Of course it's tax free weekend when I'm broke🙄
lol,Of course it's tax free weekend when I'm broke🙄
None,We're #hiring! Read about our latest #job opening here: Carhop/Skating Carhop (Server) -  #SONIC #Hospitality
None,@Bababooeyhtja @TrumpIsTheSwamp @seanhannity @DiamondandSilk Check again suga balls.
Happy,Mmmm. Summer skies. #cloudy #overcast #summer #canada #bleh @ Deep River Ontario
Suprise,Never thought I'd get hit in the head with a shoe while shampooing someone but life is full of surprises
Confusion,Never thought I'd get hit in the head with a shoe while shampooing someone but life is full of surprises
Sadness,I wish I wasn't a good texter
None,We're #hiring! Read about our latest #job opening here: JDHuntr In-House Counsel Jobs 21195 AVP Senior... -  #Legal
Happy,feeling a little nostalgic for a certain lab assistant. I found one of the hair clips I used during language archiv…
Sadness,feeling a little nostalgic for a certain lab assistant. I found one of the hair clips I used during language archiv…
None,We're #hiring! Read about our latest #job opening here: Substitute Teachers - Pick the Days You Work -... -
Happy,Huzzah!!!!! #Moltres is mine! @PokemonGoApp #PokemonGO #Pokemon #TeamValor thank you to @tonygowell for #organizing…
Excitement,Huzzah!!!!! #Moltres is mine! @PokemonGoApp #PokemonGO #Pokemon #TeamValor thank you to @tonygowell for #organizing…
None,Join the The Stepping Stones Group team! See our latest #job opening here:  #SchoolPsychology #Tiffin OH #Hiring
lol,LOL but also do we call assertive little boys bossy? Why only girls?
Confusion,LOL but also do we call assertive little boys bossy? Why only girls?
None,Interested in a #job in #Johnston IA? This could be a great fit:  #Automotive #Hiring #CareerArc
None,Can you recommend anyone for this #job? Assistant MOzen Restaurant Manager -  #Vegas #Management #Hospitality
None,Want to work in #SanFrancisco CA? View our latest opening:  #ProductMgmt #Job #Jobs #Hiring #CareerArc
Excitement,Looking for 30 solid laps tonight at Tri-State Speedway!
None,Can you recommend anyone for this #job in #Greeley CO?  #Automotive #Hiring #CareerArc
None,Just Listed in #Simpsonville #SC. 9 Manorwood Court! Please retweet!
Frustrated,I'm so tired.
Happy,"I came for the birch beer corn dogs &amp; a souvenir cup 😎☀️🍉🌭🍭

#countyfair #berkeleycounty… "
Anger/Upset,I h8t waiting
Anger/Upset,Deplorable: keep on going after Potus! we will be merciless with you! you will face all your corruption! Pelosy even retire Reid wiill!!
Happy,Baby H &amp; I in the cleaning mood today thankful to have all this energy 😊
Thankful,Baby H &amp; I in the cleaning mood today thankful to have all this energy 😊
None,See our latest #Anderson CA #job and click to apply: Package Handler - Part-Time -  #Labor #Hiring #CareerArc
None,Want to work at CHI? We're #hiring in #GrandIsland NE! Click for details:  #Nursing #Job #Jobs #CareerArc
Love,Married life is the best! #husbands #TiffanyAndCo
Happy,Married life is the best! #husbands #TiffanyAndCo
Sadness,I'm about to watch The Notebook for the first time.....do I need a box of Kleenex
Frustrated,done trying with people
Sadness,But that don't mean I've lost hope.... I know sooner than later the RIGHT person will be by my side not wanting to leave EVER!
Frustrated,But that don't mean I've lost hope.... I know sooner than later the RIGHT person will be by my side not wanting to leave EVER!
Anger/Upset,Yall are wrong
Love,I Love spoiling  my wife
Excitement,Ordered myself some Tevas can't wait for them to come in 😍
Excitement,Fetty Wap is currently on Snapchat 🙂
Frustrated,We only change when it's too late.
Happy,Had fun today! #HamptonRoads #ChicsBeach #ChesapeakeBeach #ChicsBeach #VirginiaBeach
Excitement,Exciting news from @HCrossBaseball! Congratulations George!
Anger/Upset,Why are ttc drivers such fucking dickheads
Anger/Upset,Boy stfu who are you?? Like who tf are you??😂😂
Confusion,Boy stfu who are you?? Like who tf are you??😂😂
Proud,Don't mess with us in the sprints 🤷🏼‍♀️🇺🇸
Sadness,@HexAngyl With these empty eyes Geobbels clone you can't disquise he's got empty eyes such a lier I want to cry…
Confusion,@BB_Updates Wait im confused? Who did christmas use it on
Love,Attention! Attention!! @Heedoism is the cutest Gyujin stan ever. I repeat GYUJIN IS SO LUCKY TO HAVE KRISTINE THEY ARE SO CUTE TOGETHER
Frustrated,Am I the only one that's sick and tired of all this political correctness? I miss the good old days.
Excitement,Cannot wait to go to college and move on with everything
Confusion,"Please raise your hand if you eat ice cream out of cone with a spoon. 

Also WHY"
Anger/Upset,You terrible
Anger/Upset,@DanRather dan we rather watch u blow Ron Jeremy in a porn then watch how u pigs report fake news.
Sarcastic,Being blown off is by far my fav 😍
Happy,I can't believe that I had so much fun last night! 💖💖😊
Fear,At any moment the Super Volcano in Yellowstone could Erupt and we are all dead
Love,God bless all the old ppl out there that love their mail carriers! 😊
Thankful,God bless all the old ppl out there that love their mail carriers! 😊
Thankful,Thank you cause this big is tripping
Happy,@jess_hilarious glad you came to the concert ...ready for you to host this thing now @ YCMC by…
Anger/Upset,@porterairlines Seriously? Delays on delays. Facilities aren't clean - what's going on?! I used to love your service. :( #disappointed
Dissapointed,@porterairlines Seriously? Delays on delays. Facilities aren't clean - what's going on?! I used to love your service. :( #disappointed
Thankful,Hey @CircleCityTiX ~ Thanks for supporting an amazing @ColbyandCate birthday bash for @RileyChildrens!
None,See our latest #Phoenix AZ #job and click to apply: Sr Mechanical Design Engineer -  #NowHiring #GetHired #Hiring
None,#DCvTOR #DCU #VamosUnited (@ Robert F. Kennedy Memorial Stadium in Washington DC)
Happy,awesome week in Tampa at East Coast Pro w/ @adidasBaseball and @EastCoastPro1!! #3STRIPELIFE 💦
Excitement,awesome week in Tampa at East Coast Pro w/ @adidasBaseball and @EastCoastPro1!! #3STRIPELIFE 💦
Love,@c_kosss srsly tho you're hecking pretty.
None,Join the Yardi Systems team! See our latest #job opening here:  #projectmanagement #Veterans
Happy,Enjoying this beautiful San Diego Saturday!!! #americasfinestcity #cheerstotheweekend…
None,Just posted a photo @ Varennes Quebec
None,@missdcusa has Arrived at @citiopen @linkstrategic @ Citi Open
Happy,So happy my puppies are finally home ❤️❤️❤️ @ New Jersey
Love,Tubbs Subs and some beer after a morning of garage saling - doesnt get much better. Love ya @kurnicles
Happy,Tubbs Subs and some beer after a morning of garage saling - doesnt get much better. Love ya @kurnicles
Amusment/Interest?,Wade Davis makes things interesting.
Frustrated,I really don't care how I talk to people anymore
Confusion,Where's my boyfriend
Happy,Beautiful sky beautiful day in NYC! Trip to the park with my monsters at Riverside Park!…
Happy,I just discovered Princess Nokia today and I'm loving her sound.
Excitement,I just discovered Princess Nokia today and I'm loving her sound.
Anger/Upset,It's a challenge for me everyday to control my anger when mfs keep having me fucked up 🖕🏾🗣
Thankful,"My request for dinner!❤️
#thankyoubaby @ann091115 
#you'rethebest#bulalo#wishgranted#dinnersaya… "
None,@lostabbey #mongo double IPA back in stock!! @ Turnpike Market
None,Join the U.S. Bank team! See our latest #job opening here:  #Banking #Chesterfield MO #Hiring #CareerArc
Frustrated,The raiders need to cut Sean smith already man he's trash
Happy,@CoherentGuile @WriterlyTweets Have a great day @CoherentGuile! 🌞👓😎🌅
None,TIL that Nightmare on Elm Street is (partially) inspired by a true story.
None,Join the Advance Auto Parts team! See our latest #job opening here:  #Automotive #Tappahannock VA #Hiring
None,Want to work at Charter Schools USA? We're #hiring in #FortLauderdale FL! Click for details:  #Education #Job
None,Join the Charles Schwab team! See our latest #job opening here:  #Sales #Providence RI #Veterans #Hiring #CareerArc
